2:5:9.273           Problem.Calculate   Starting calculation: Task Count = 300; Truck Count = 4; Iterations = 10000
2:5:12.641          Problem.Calculate   Resolving input to OSRM nodes
2:5:12.643          Problem.Calculate   Coordinate resolution complete!
2:13:52.399         FitnessImprovement  Iteration = 160; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 161; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 162; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 163; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 164; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 165; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 166; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 167; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 168; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 169; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 170; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 171; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 172; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 173; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 174; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 175; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 176; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 177; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 178; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 179; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 180; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 181; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 182; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 183; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 184; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 185; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 186; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 187; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 188; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 189; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 190; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 191; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 192; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 193; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 194; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 195; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 196; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 197; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 198; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 199; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 200; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 201; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 202; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 203; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 204; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 205; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 206; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 207; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 208; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 209; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 210; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 211; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 212; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 213; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 214; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 215; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 216; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 217; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 218; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 219; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 220; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 221; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 222; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 223; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 224; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 225; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 226; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 227; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 228; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 229; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 230; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 231; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 232; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 233; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 234; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 235; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 236; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 237; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 238; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 239; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 240; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 241; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 242; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 243; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 244; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 245; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 246; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 247; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 248; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 249; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 250; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 251; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 252; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 253; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 254; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 255; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 256; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 257; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 258; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 259; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 260; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 261; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 262; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 263; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 264; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 265; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 266; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 267; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 268; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 269; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 270; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 271; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 272; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 273; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 274; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 275; Fitness = 215368
2:13:52.399         FitnessImprovement  Iteration = 276; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 277; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 278; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 279; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 280; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 281; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 282; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 283; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 284; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 285; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 286; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 287; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 288; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 289; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 290; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 291; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 292; Fitness = 215368
2:13:52.400         FitnessImprovement  Iteration = 293; Fitness = 215368
